source_item_id	source_file	current_route	current_claim	current_task_shape	official_ctw_match	answer_index	answer_label	correct_word	correct_unique_longest	key_status	interaction_status	immediate_reveal	a11y_status	editorial_status	reuse_class	target_reuse	origin_commit	rights_status	release_status
ctw-campus-01	src/data/practica-exams/seo-catalog.ts	/practica/toefl/reading/formato-2026/complete-the-words	complete_the_words_current_exam	sentence_cloze_four_option_mcq	no	0	A	reduce	no	unambiguous	static_no_response	yes	generic_spans_not_controls	language_pass_low_discrimination_position_bias	B_repair_reclassify	word_choice_skill_practice_A	07a0fe768866dd18f2bb70c59c22ebdd0b5c074d	internal_commit_origin_pending_attestation_similarity	blocked_as_CTW_preserve_for_reclassification
ctw-campus-02	src/data/practica-exams/seo-catalog.ts	/practica/toefl/reading/formato-2026/complete-the-words	complete_the_words_current_exam	sentence_cloze_four_option_mcq	no	0	A	limited	no	unambiguous	static_no_response	yes	generic_spans_not_controls	language_pass_low_discrimination_position_bias	B_repair_reclassify	word_choice_skill_practice_A	07a0fe768866dd18f2bb70c59c22ebdd0b5c074d	internal_commit_origin_pending_attestation_similarity	blocked_as_CTW_preserve_for_reclassification
ctw-campus-03	src/data/practica-exams/seo-catalog.ts	/practica/toefl/reading/formato-2026/complete-the-words	complete_the_words_current_exam	sentence_cloze_four_option_mcq	no	2	C	replace	yes	unambiguous	static_no_response	yes	generic_spans_not_controls	language_pass_low_discrimination_position_bias_length_clue	B_repair_reclassify	word_choice_skill_practice_A	07a0fe768866dd18f2bb70c59c22ebdd0b5c074d	internal_commit_origin_pending_attestation_similarity	blocked_as_CTW_preserve_for_reclassification
ctw-lab-04	src/data/practica-exams/seo-catalog.ts	/practica/toefl/reading/formato-2026/complete-the-words	complete_the_words_current_exam	sentence_cloze_four_option_mcq	no	0	A	record	no	unambiguous	static_no_response	yes	generic_spans_not_controls	language_pass_low_discrimination_position_bias	B_repair_reclassify	word_choice_skill_practice_A	07a0fe768866dd18f2bb70c59c22ebdd0b5c074d	internal_commit_origin_pending_attestation_similarity	blocked_as_CTW_preserve_for_reclassification
ctw-email-05	src/data/practica-exams/seo-catalog.ts	/practica/toefl/reading/formato-2026/complete-the-words	complete_the_words_current_exam	sentence_cloze_four_option_mcq	no	1	B	extended	no	unambiguous	static_no_response	yes	generic_spans_not_controls	language_pass_low_discrimination_position_bias	B_repair_reclassify	word_choice_skill_practice_A	07a0fe768866dd18f2bb70c59c22ebdd0b5c074d	internal_commit_origin_pending_attestation_similarity	blocked_as_CTW_preserve_for_reclassification
ctw-lecture-06	src/data/practica-exams/seo-catalog.ts	/practica/toefl/reading/formato-2026/complete-the-words	complete_the_words_current_exam	sentence_cloze_four_option_mcq	no	1	B	illustrate	yes	unambiguous	static_no_response	yes	generic_spans_not_controls	language_pass_low_discrimination_position_bias_length_clue	B_repair_reclassify	word_choice_skill_practice_A	07a0fe768866dd18f2bb70c59c22ebdd0b5c074d	internal_commit_origin_pending_attestation_similarity	blocked_as_CTW_preserve_for_reclassification
ctw-notice-07	src/data/practica-exams/seo-catalog.ts	/practica/toefl/reading/formato-2026/complete-the-words	complete_the_words_current_exam	sentence_cloze_four_option_mcq	no	0	A	replacement	yes	unambiguous	static_no_response	yes	generic_spans_not_controls	language_pass_low_discrimination_position_bias_length_clue	B_repair_reclassify	word_choice_skill_practice_A	07a0fe768866dd18f2bb70c59c22ebdd0b5c074d	internal_commit_origin_pending_attestation_similarity	blocked_as_CTW_preserve_for_reclassification
ctw-research-08	src/data/practica-exams/seo-catalog.ts	/practica/toefl/reading/formato-2026/complete-the-words	complete_the_words_current_exam	sentence_cloze_four_option_mcq	no	0	A	confirm	no	unambiguous	static_no_response	yes	generic_spans_not_controls	language_pass_low_discrimination_position_bias	B_repair_reclassify	word_choice_skill_practice_A	07a0fe768866dd18f2bb70c59c22ebdd0b5c074d	internal_commit_origin_pending_attestation_similarity	blocked_as_CTW_preserve_for_reclassification
ctw-campus-09	src/data/practica-exams/seo-catalog.ts	/practica/toefl/reading/formato-2026/complete-the-words	complete_the_words_current_exam	sentence_cloze_four_option_mcq	no	0	A	prevent	no	unambiguous	static_no_response	yes	generic_spans_not_controls	language_pass_low_discrimination_position_bias	B_repair_reclassify	word_choice_skill_practice_A	07a0fe768866dd18f2bb70c59c22ebdd0b5c074d	internal_commit_origin_pending_attestation_similarity	blocked_as_CTW_preserve_for_reclassification
ctw-lab-10	src/data/practica-exams/seo-catalog.ts	/practica/toefl/reading/formato-2026/complete-the-words	complete_the_words_current_exam	sentence_cloze_four_option_mcq	no	0	A	caution	no	unambiguous	static_no_response	yes	generic_spans_not_controls	language_pass_low_discrimination_position_bias	B_repair_reclassify	word_choice_skill_practice_A	07a0fe768866dd18f2bb70c59c22ebdd0b5c074d	internal_commit_origin_pending_attestation_similarity	blocked_as_CTW_preserve_for_reclassification
